Date,Low,Bitcoins Purchased,Bitcoin Value,Accumulated Tuition
2012-01-01,4.58,0.0,0.0,0.0
2012-01-02,5.0,0.0,0.0,0.0
2012-01-03,5.0,0.0,0.0,0.0
2012-01-04,5.29,0.0,0.0,0.0
2012-01-05,5.72,0.0,0.0,0.0
2012-01-06,6.65,0.0,0.0,0.0
2012-01-07,6.0,0.0,0.0,0.0
2012-01-08,6.8,0.0,0.0,0.0
2012-01-09,7.0,0.0,0.0,0.0
2012-01-10,6.3,0.0,0.0,0.0
2012-01-11,7.14,0.0,0.0,0.0
2012-01-12,7.0,0.0,0.0,0.0
2012-01-13,6.8,0.0,0.0,0.0
2012-01-14,6.4,0.0,0.0,0.0
2012-01-15,6.3,0.0,0.0,0.0
2012-01-16,7.15,0.0,0.0,0.0
2012-01-17,7.1,0.0,0.0,0.0
2012-01-18,6.3,0.0,0.0,0.0
2012-01-19,7.1,0.0,0.0,0.0
2012-01-20,6.22,0.0,0.0,0.0
2012-01-21,6.95,0.0,0.0,0.0
2012-01-22,6.77,0.0,0.0,0.0
2012-01-23,6.79,0.0,0.0,0.0
2012-01-24,6.52,0.0,0.0,0.0
2012-01-25,6.55,0.0,0.0,0.0
2012-01-26,6.31,0.0,0.0,0.0
2012-01-27,6.03,0.0,0.0,0.0
2012-01-28,5.88,0.0,0.0,0.0
2012-01-29,4.91,0.0,0.0,0.0
2012-01-30,5.5,0.0,0.0,0.0
2012-01-31,5.58,0.0,0.0,0.0
2012-02-01,5.3,0.0,0.0,0.0
2012-02-02,5.99,0.0,0.0,0.0
2012-02-03,6.35,0.0,0.0,0.0
2012-02-04,6.37,0.0,0.0,0.0
2012-02-05,5.9,0.0,0.0,0.0
2012-02-06,5.6,0.0,0.0,0.0
2012-02-07,5.6,0.0,0.0,0.0
2012-02-08,5.69,0.0,0.0,0.0
2012-02-09,5.87,0.0,0.0,0.0
2012-02-10,5.89,0.0,0.0,0.0
2012-02-11,5.88,0.0,0.0,0.0
2012-02-12,5.5,0.0,0.0,0.0
2012-02-13,5.67,0.0,0.0,0.0
2012-02-14,5.2,0.0,0.0,0.0
2012-02-15,4.89,0.0,0.0,0.0
2012-02-16,4.17,0.0,0.0,0.0
2012-02-17,4.68,0.0,0.0,0.0
2012-02-18,4.45,0.0,0.0,0.0
2012-02-19,4.3,0.0,0.0,0.0
2012-02-20,4.38,0.0,0.0,0.0
2012-02-21,4.44,0.0,0.0,0.0
2012-02-22,4.46,0.0,0.0,0.0
2012-02-23,4.51,0.0,0.0,0.0
2012-02-24,5.22,0.0,0.0,0.0
2012-02-25,4.95,0.0,0.0,0.0
2012-02-26,5.0,0.0,0.0,0.0
2012-02-27,4.98,0.0,0.0,0.0
2012-02-28,5.09,0.0,0.0,0.0
2012-02-29,4.97,0.0,0.0,0.0
2012-03-01,5.05,0.0,0.0,0.0
2012-03-02,5.0,0.0,0.0,0.0
2012-03-03,4.99,0.0,0.0,0.0
2012-03-04,4.65,0.0,0.0,0.0
2012-03-05,4.97,0.0,0.0,0.0
2012-03-06,5.06,0.0,0.0,0.0
2012-03-07,4.98,0.0,0.0,0.0
2012-03-08,4.92,0.0,0.0,0.0
2012-03-09,5.01,0.0,0.0,0.0
2012-03-10,4.93,0.0,0.0,0.0
2012-03-11,4.94,0.0,0.0,0.0
2012-03-12,5.0,0.0,0.0,0.0
2012-03-13,4.99,0.0,0.0,0.0
2012-03-14,5.3,0.0,0.0,0.0
2012-03-15,5.27,0.0,0.0,0.0
2012-03-16,5.39,0.0,0.0,0.0
2012-03-17,5.26,0.0,0.0,0.0
2012-03-18,5.42,0.0,0.0,0.0
2012-03-19,5.25,0.0,0.0,0.0
2012-03-20,4.92,0.0,0.0,0.0
2012-03-21,4.79,0.0,0.0,0.0
2012-03-22,4.81,0.0,0.0,0.0
2012-03-23,4.91,0.0,0.0,0.0
2012-03-24,4.78,0.0,0.0,0.0
2012-03-25,4.83,0.0,0.0,0.0
2012-03-26,4.6,0.0,0.0,0.0
2012-03-27,4.54,0.0,0.0,0.0
2012-03-28,4.72,0.0,0.0,0.0
2012-03-29,4.93,0.0,0.0,0.0
2012-03-30,4.84,0.0,0.0,0.0
2012-03-31,4.88,0.0,0.0,0.0
2012-04-01,4.9,0.0,0.0,0.0
2012-04-02,4.89,0.0,0.0,0.0
2012-04-03,5.04,0.0,0.0,0.0
2012-04-04,4.99,0.0,0.0,0.0
2012-04-05,5.01,0.0,0.0,0.0
2012-04-06,5.0,0.0,0.0,0.0
2012-04-07,4.91,0.0,0.0,0.0
2012-04-08,4.8,0.0,0.0,0.0
2012-04-09,4.76,0.0,0.0,0.0
2012-04-10,4.75,0.0,0.0,0.0
2012-04-11,4.8,0.0,0.0,0.0
2012-04-12,4.74,0.0,0.0,0.0
2012-04-13,4.88,0.0,0.0,0.0
2012-04-14,5.01,0.0,0.0,0.0
2012-04-15,4.94,0.0,0.0,0.0
2012-04-16,4.99,0.0,0.0,0.0
2012-04-17,4.98,0.0,0.0,0.0
2012-04-18,5.1,0.0,0.0,0.0
2012-04-19,5.07,0.0,0.0,0.0
2012-04-20,5.15,0.0,0.0,0.0
2012-04-21,5.37,0.0,0.0,0.0
2012-04-22,5.21,0.0,0.0,0.0
2012-04-23,5.2,0.0,0.0,0.0
2012-04-24,5.06,0.0,0.0,0.0
2012-04-25,5.08,0.0,0.0,0.0
2012-04-26,5.06,0.0,0.0,0.0
2012-04-27,5.06,0.0,0.0,0.0
2012-04-28,5.07,0.0,0.0,0.0
2012-04-29,4.96,0.0,0.0,0.0
2012-04-30,4.91,0.0,0.0,0.0
2012-05-01,4.86,0.0,0.0,0.0
2012-05-02,5.09,0.0,0.0,0.0
2012-05-03,5.05,0.0,0.0,0.0
2012-05-04,5.07,0.0,0.0,0.0
2012-05-05,5.07,0.0,0.0,0.0
2012-05-06,5.02,0.0,0.0,0.0
2012-05-07,5.0,0.0,0.0,0.0
2012-05-08,5.08,0.0,0.0,0.0
2012-05-09,5.01,0.0,0.0,0.0
2012-05-10,5.02,0.0,0.0,0.0
2012-05-11,4.94,0.0,0.0,0.0
2012-05-12,4.95,0.0,0.0,0.0
2012-05-13,4.91,0.0,0.0,0.0
2012-05-14,4.94,0.0,0.0,0.0
2012-05-15,4.93,0.0,0.0,0.0
2012-05-16,4.95,0.0,0.0,0.0
2012-05-17,5.02,0.0,0.0,0.0
2012-05-18,5.03,0.0,0.0,0.0
2012-05-19,5.07,0.0,0.0,0.0
2012-05-20,5.07,0.0,0.0,0.0
2012-05-21,5.03,0.0,0.0,0.0
2012-05-22,5.08,0.0,0.0,0.0
2012-05-23,5.09,0.0,0.0,0.0
2012-05-24,5.05,0.0,0.0,0.0
2012-05-25,5.12,0.0,0.0,0.0
2012-05-26,5.09,0.0,0.0,0.0
2012-05-27,5.08,0.0,0.0,0.0
2012-05-28,5.07,0.0,0.0,0.0
2012-05-29,5.04,0.0,0.0,0.0
2012-05-30,5.07,0.0,0.0,0.0
2012-05-31,5.1,0.0,0.0,0.0
2012-06-01,5.19,0.0,0.0,0.0
2012-06-02,5.2,0.0,0.0,0.0
2012-06-03,5.19,0.0,0.0,0.0
2012-06-04,5.19,0.0,0.0,0.0
2012-06-05,5.3,0.0,0.0,0.0
2012-06-06,5.41,0.0,0.0,0.0
2012-06-07,5.4,0.0,0.0,0.0
2012-06-08,5.56,0.0,0.0,0.0
2012-06-09,5.6,0.0,0.0,0.0
2012-06-10,5.49,0.0,0.0,0.0
2012-06-11,5.48,0.0,0.0,0.0
2012-06-12,5.52,0.0,0.0,0.0
2012-06-13,5.71,0.0,0.0,0.0
2012-06-14,5.8,0.0,0.0,0.0
2012-06-15,5.9,0.0,0.0,0.0
2012-06-16,6.19,0.0,0.0,0.0
2012-06-17,6.41,0.0,0.0,0.0
2012-06-18,6.17,0.0,0.0,0.0
2012-06-19,6.14,0.0,0.0,0.0
2012-06-20,6.32,0.0,0.0,0.0
2012-06-21,6.67,0.0,0.0,0.0
2012-06-22,6.65,0.0,0.0,0.0
2012-06-23,6.61,0.0,0.0,0.0
2012-06-24,6.45,0.0,0.0,0.0
2012-06-25,6.27,0.0,0.0,0.0
2012-06-26,6.35,0.0,0.0,0.0
2012-06-27,6.35,0.0,0.0,0.0
2012-06-28,6.46,0.0,0.0,0.0
2012-06-29,6.51,0.0,0.0,0.0
2012-06-30,6.58,0.0,0.0,0.0
2012-07-01,6.61,0.0,0.0,0.0
2012-07-02,6.52,0.0,0.0,0.0
2012-07-03,6.6,0.0,0.0,0.0
2012-07-04,6.46,0.0,0.0,0.0
2012-07-05,6.44,0.0,0.0,0.0
2012-07-06,6.58,0.0,0.0,0.0
2012-07-07,6.6,0.0,0.0,0.0
2012-07-08,6.71,0.0,0.0,0.0
2012-07-09,6.77,0.0,0.0,0.0
2012-07-10,7.0,0.0,0.0,0.0
2012-07-11,7.13,0.0,0.0,0.0
2012-07-12,7.14,0.0,0.0,0.0
2012-07-13,7.55,0.0,0.0,0.0
2012-07-14,7.59,0.0,0.0,0.0
